player,season,nation,pos,age,Matches Played,Avg Mins per Match,Rating,Goals,Assists,Expected Goals,Progressive Passes,Tackles Won,Interceptions,Saves
Fernando Torres,2017,Spain,FW,33,27,982.0,6.77,5,0,5.5,24,8,2,0
Ferran Jutglà,2021,Spain,FW,22,6,301.0,6.653796464433254,1,0,1.6,4,1,1,0
Festy Ebosele,2022,Ireland,DF,19,17,411.0,6.59,0,1,0.2,17,10,2,0
Festy Ebosele,2023,Ireland,DF,20,31,1700.0,6.68,0,0,0.8,35,20,10,0
Fidel,2020,Spain,MF,30,30,2396.0,6.9,6,3,4.3,97,30,16,0
Fidel,2021,Spain,MF,31,33,2261.0,6.8,5,6,2.8,135,23,7,0
Fidel,2022,Spain,MF,32,27,1714.0,6.63,3,2,2.3,139,10,5,0
Fikayo Tomori,2019,England,DF,21,15,1291.0,6.970000000000001,1,0,0.4,50,16,22,0
Fikayo Tomori,2020,England,DF,22,18,755.5,7.14,1,0,0.8,41,19,20,0
Fikayo Tomori,2021,England,DF,23,31,2718.0,7.15,0,0,1.1,82,44,45,0
Fikayo Tomori,2022,England,DF,24,33,2760.0,7.18,1,1,1.3,122,34,29,0
Fikayo Tomori,2023,England,DF,25,26,2121.0,7.02,4,0,3.7,63,24,26,0
Filip Bradarić,2018,Croatia,MF,26,27,1494.0,6.760000000000001,0,2,0.5,94,21,39,0
Filip Bradarić,2019,Croatia,MF,27,14,706.0,6.44,0,0,0.3,31,9,17,0
Filip Helander,2017,Sweden,DF,24,29,2499.0,6.890000000000001,0,0,0.3,87,32,37,0
Filip Helander,2018,Sweden,DF,25,20,1713.0,6.719999999999999,0,0,0.7,55,26,14,0
Filip Jørgensen,2022,Denmark,GK,20,2,180.0,6.6461688293190075,0,0,0.0,0,0,0,3
Filip Jørgensen,2023,Denmark,GK,21,36,3240.0,7.210000000000001,0,0,0.0,0,1,2,143
Filip Kostić,2017,Serbia,FW,24,30,2438.0,6.69,5,1,8.2,59,38,10,0
Filip Kostić,2018,Serbia,DF,25,34,2956.0,7.11,6,10,4.5,140,42,23,0
Filip Kostić,2019,Serbia,DF,26,33,2958.0,7.37,4,11,6.3,103,38,23,0
Filip Kostić,2020,Serbia,DF,27,30,2534.0,7.39,4,14,4.4,108,31,26,0
Filip Kostić,2021,Serbia,DF,28,31,2522.0,7.25,4,9,2.4,101,17,15,0
Filip Kostić,2022,Serbia,DF,29,38,1319.0,7.0,3,8,2.4,82,26,17,0
Filip Kostić,2023,Serbia,DF,30,29,1815.0,6.93,0,4,0.7,88,23,9,0
Filip Krovinović,2020,Croatia,MF,24,11,546.0,6.686332121786548,0,0,0.3,41,10,4,0
Filip Malbašić,2020,Serbia,FW,27,28,860.0,6.49,0,1,0.8,18,7,4,0
Filip Uremović,2022,Croatia,DF,25,22,1726.0,6.569999999999999,0,0,0.9,17,23,36,0
Filip Đorđević,2018,Serbia,FW,30,13,634.0,6.65,1,1,3.0,7,6,2,0
Filip Đuričić,2017,Serbia,MF,25,16,489.0,6.81,0,1,0.8,44,14,9,0
Filip Đuričić,2018,Serbia,FW,26,23,1252.0,6.63,2,1,1.4,56,13,8,0
Filip Đuričić,2019,Serbia,MF,27,29,1633.0,6.91,5,5,3.0,76,14,8,0
Filip Đuričić,2020,Serbia,MF,28,32,2079.0,6.8,5,4,6.2,96,23,9,0
Filip Đuričić,2021,Serbia,MF,29,12,671.0,6.73241332532491,2,1,2.0,28,10,4,0
Filip Đuričić,2022,Serbia,MF,30,32,2171.0,6.69,3,0,2.7,77,22,7,0
Filipe Luís,2017,Brazil,DF,31,20,1659.0,7.450000000000001,1,2,0.3,102,52,35,0
Filipe Luís,2018,Brazil,DF,32,27,2030.0,6.95,2,2,0.8,110,36,44,0
Filippo Bandinelli,2021,Italy,MF,26,35,1955.0,6.68,2,3,2.2,104,20,10,0
Filippo Bandinelli,2022,Italy,MF,27,35,2263.0,6.69,2,0,1.7,101,34,18,0
Filippo Costa,2017,Italy,DF,22,23,1473.0,6.81,0,1,0.3,46,12,22,0
Filippo Costa,2018,Italy,DF,23,9,564.0,6.660658662152643,0,0,0.3,19,13,8,0
Filippo Delli Carri,2021,Italy,DF,22,5,334.0,6.647851210966984,0,0,0.2,7,4,4,0
Filippo Falco,2019,Italy,FW,27,30,2014.0,7.25,4,6,2.8,139,7,2,0
Filippo Melegoni,2020,Italy,MF,21,14,389.0,6.57,0,0,0.4,16,6,5,0
Filippo Melegoni,2021,Italy,MF,22,25,980.0,6.73,1,0,0.6,27,12,11,0
Filippo Ranocchia,2022,Italy,MF,21,14,530.0,6.76,1,0,1.2,26,6,4,0
Filippo Ranocchia,2023,Italy,MF,22,9,476.0,6.657216315310441,0,0,0.2,21,11,3,0
Filippo Romagna,2017,Italy,DF,20,23,1888.0,6.69,0,0,0.1,94,18,33,0
Filippo Romagna,2018,Italy,DF,21,18,1474.0,6.799999999999999,0,0,0.5,32,9,19,0
Filippo Romagna,2019,Italy,DF,22,18,1477.0,6.83,0,0,0.1,30,6,10,0
Filippo Romagna,2022,Italy,DF,25,2,46.0,6.637664151011675,0,0,0.0,0,0,0,0
Filippo Terracciano,2021,Italy,DF,18,1,7.0,6.639034790327134,0,0,0.0,1,0,0,0
Filippo Terracciano,2022,Italy,DF,19,20,821.0,6.79,0,1,0.2,37,13,10,0
Filippo Terracciano,2023,Italy,DF,20,21,686.0,6.719999999999999,0,1,0.3,52,21,20,0
Fin Bartels,2017,Germany,FW,30,14,1121.0,6.89,2,3,2.1,42,9,7,0
Fin Bartels,2018,Germany,MF,31,2,23.0,6.640997234693658,0,0,0.0,1,0,1,0
Fin Bartels,2019,Germany,MF,32,14,340.0,6.510000000000001,0,0,0.3,20,5,1,0
Finley Stevens,2021,Wales,DF,18,1,15.0,6.639282372255958,0,0,0.0,2,1,0,0
Finn Ole Becker,2022,Germany,MF,22,13,513.0,6.61,0,0,0.4,19,2,5,0
Finn Ole Becker,2023,Germany,MF,23,22,606.0,6.49,0,0,0.2,36,9,1,0
Fisnik Asllani,2021,Kosovo,MF,18,2,9.0,6.637664151011675,0,0,0.0,0,0,0,0
Flavien Tait,2017,France,MF,24,31,2235.0,7.01,4,3,4.0,103,36,20,0
Flavien Tait,2018,France,MF,25,36,2985.0,7.26,5,7,7.0,159,35,28,0
Flavien Tait,2019,France,MF,26,17,885.0,6.75,2,2,1.2,51,13,9,0
Flavien Tait,2020,France,MF,27,23,1368.0,6.859999999999999,1,3,1.9,104,11,13,0
Flavien Tait,2021,France,MF,28,28,2125.0,6.96,5,3,2.6,189,19,19,0
Flavien Tait,2022,France,MF,29,30,1680.0,6.79,2,2,2.3,154,15,20,0
Flavio Junior Bianchi,2021,Italy,FW,21,7,314.0,6.660400176054476,1,0,0.8,3,2,0,0
Flavio Paoletti,2022,Italy,MF,19,12,284.0,6.656195372594696,0,0,0.0,8,2,5,0
Flavius Daniliuc,2020,Austria,DF,19,23,1477.0,6.760000000000001,1,0,0.6,102,15,14,0
Flavius Daniliuc,2021,Austria,DF,20,24,1293.0,6.81,0,0,0.2,63,31,14,0
Flavius Daniliuc,2022,Austria,DF,21,29,1143.0,6.77,0,2,0.6,74,29,29,0
Flavius Daniliuc,2023,Austria,DF,22,14,744.0,6.55,0,0,0.2,37,11,8,0
Florent Balmont,2017,France,MF,37,21,860.0,6.61,1,3,0.3,75,9,8,0
Florent Balmont,2018,France,MF,38,20,1076.0,6.66,0,1,0.1,75,16,6,0
Florent Balmont,2019,France,MF,39,11,401.0,6.672613106665157,0,0,0.2,31,6,1,0
Florent Hadergjonaj,2017,Kosovo,DF,23,23,1674.0,6.700000000000001,0,1,0.3,62,16,17,0
Florent Hadergjonaj,2018,Kosovo,DF,24,24,1842.0,6.64,0,0,0.2,65,17,21,0
Florent Mollet,2017,France,MF,25,22,1412.0,6.890000000000001,7,1,4.3,65,18,11,0
Florent Mollet,2018,France,MF,26,32,2564.0,7.27,6,4,3.9,168,20,23,0
Florent Mollet,2019,France,MF,27,25,1684.0,7.19,6,3,3.0,84,11,9,0
Florent Mollet,2020,France,MF,28,34,2355.0,6.75,3,5,4.2,143,15,32,0
Florent Mollet,2021,France,FW,29,35,2630.0,6.75,6,2,4.3,114,22,24,0
Florent Mollet,2022,France,MF,30,28,749.5,6.84,2,2,1.6,87,7,11,0
Florent Mollet,2023,France,MF,31,29,2083.0,7.0,4,4,5.9,96,11,13,0
Florent Muslija,2018,Kosovo,MF,20,17,679.0,6.819999999999999,2,0,1.2,30,10,3,0
Florent Muslija,2023,Kosovo,MF,25,10,105.0,6.649607750979872,0,0,0.1,13,4,0,0
Florent Ogier,2021,France,DF,32,30,2429.0,6.820000000000001,1,0,0.7,80,17,37,0
Florent Ogier,2022,France,DF,33,26,1701.0,6.66,0,1,0.2,57,16,18,0
Florent Ogier,2023,France,DF,34,14,943.0,6.85,1,1,0.6,17,9,9,0
Florentin Pogba,2017,Guinea,DF,26,5,321.0,6.6574449064791645,0,0,0.0,13,0,1,0
Florentino Luís,2020,Portugal,MF,20,9,241.0,6.667740449898662,0,0,0.1,16,2,6,0
Florentino Luís,2021,Portugal,MF,21,22,992.0,6.74,0,1,0.1,33,25,21,0
Florian Ayé,2019,France,FW,22,22,1380.0,6.62,0,0,2.4,16,9,4,0
Florian Dietz,2022,Germany,FW,23,11,395.0,6.64076232510612,1,0,2.5,5,1,0,0
Florian Grillitsch,2017,Austria,MF,21,25,1888.0,7.02,1,2,1.2,108,46,39,0
Florian Grillitsch,2018,Austria,MF,22,30,2394.0,7.06,0,3,1.3,177,49,72,0
Florian Grillitsch,2019,Austria,MF,23,31,2408.0,6.96,0,3,1.3,156,29,49,0
Florian Grillitsch,2020,Austria,MF,24,26,1879.0,7.090000000000001,2,1,2.5,160,21,51,0
Florian Grillitsch,2021,Austria,DF,25,18,1496.0,7.21,0,0,0.6,110,19,29,0
Florian Grillitsch,2023,Austria,DF,27,30,2295.0,7.01,1,6,1.2,152,28,52,0
Florian Kastenmeier,2019,Germany,GK,22,17,1530.0,6.720000000000001,0,0,0.0,0,1,2,49
Florian Kath,2017,Germany,FW,22,24,674.0,6.49,1,0,1.2,26,10,8,0
Florian Krüger,2021,Germany,FW,22,27,1129.0,6.62,1,2,1.2,19,1,2,0
Florian Mayer,2017,Germany,DF,19,1,19.0,6.63654109362504,0,0,0.0,0,1,0,0
Florian Miguel,2018,France,DF,21,13,1117.0,6.75,0,1,1.2,16,16,21,0
Florian Miguel,2019,France,DF,22,24,2056.0,6.58,1,0,1.3,65,25,33,0
Florian Miguel,2020,France,DF,23,21,1538.0,6.74,0,0,0.8,59,13,45,0
Florian Müller,2017,Germany,GK,19,5,450.0,6.637664151011675,0,0,0.0,0,0,0,0
Florian Müller,2018,Germany,GK,20,24,2160.0,6.63,0,0,0.0,0,1,3,81
Florian Müller,2019,Germany,GK,21,13,1125.0,6.75,0,0,0.0,1,0,2,40
Florian Müller,2020,Germany,GK,22,31,2790.0,6.95,0,0,0.0,0,0,2,112
Florian Müller,2021,Germany,GK,23,30,2700.0,6.7,0,0,0.0,0,0,0,88
Florian Müller,2022,Germany,GK,24,19,1710.0,6.57,0,0,0.0,2,0,0,53
Florian Neuhaus,2018,Germany,MF,21,32,2062.0,6.83,3,8,5.7,120,15,10,0
Florian Neuhaus,2019,Germany,MF,22,30,2356.0,7.010000000000001,4,2,6.4,139,23,27,0
Florian Neuhaus,2020,Germany,MF,23,33,2622.0,7.07,6,5,2.7,201,28,50,0
Florian Neuhaus,2021,Germany,MF,24,29,2121.0,6.95,4,4,4.9,133,28,31,0
Florian Neuhaus,2022,Germany,MF,25,23,1405.0,6.68,1,0,2.0,78,9,12,0
Florian Neuhaus,2023,Germany,MF,26,25,1224.0,6.9,4,2,4.3,74,12,14,0
Florian Niederlechner,2017,Germany,FW,26,10,697.0,6.6783759494692605,2,0,3.1,15,6,3,0
Florian Niederlechner,2018,Germany,FW,27,24,970.0,6.76,4,1,4.6,18,5,6,0
Florian Niederlechner,2019,Germany,FW,28,33,2720.0,7.0,13,6,13.9,52,13,8,0
Florian Niederlechner,2020,Germany,FW,29,28,1737.0,6.859999999999999,5,4,6.0,31,5,10,0
Florian Niederlechner,2021,Germany,FW,30,26,1165.0,6.7,5,3,5.0,19,5,4,0
Florian Niederlechner,2022,Germany,FW,31,30,845.5,6.74,5,1,5.199999999999999,29,12,4,0
Florian Pick,2023,Germany,MF,27,22,327.0,6.639999999999999,0,1,0.3,12,4,2,0
Florian Sotoca,2020,France,FW,29,33,2413.0,6.970000000000001,8,3,10.2,81,20,9,0
Florian Sotoca,2021,France,FW,30,35,2480.0,7.06,6,4,8.5,124,19,25,0
Florian Sotoca,2022,France,MF,31,38,3054.0,7.260000000000001,7,9,10.5,186,19,29,0
Florian Sotoca,2023,France,MF,32,32,2598.0,7.5,7,6,9.1,156,22,20,0
Florian Tardieu,2021,France,MF,29,30,2632.0,7.279999999999999,4,2,3.8,212,25,42,0
Florian Tardieu,2022,France,MF,30,15,1009.0,7.18,3,0,2.9,83,20,23,0
Florian Thauvin,2017,France,FW,24,35,2950.0,7.69,22,11,16.7,210,28,17,0
Florian Thauvin,2018,France,FW,25,33,2613.0,7.260000000000001,16,8,11.3,119,23,8,0
Florian Thauvin,2020,France,FW,27,36,2732.0,7.1499999999999995,8,8,9.0,163,22,14,0
Florian Thauvin,2022,France,FW,29,16,546.0,6.54,0,0,0.7,24,1,2,0
Florian Thauvin,2023,France,FW,30,29,1710.0,6.9,5,3,4.7,69,4,3,0
Florian Wirtz,2019,Germany,FW,16,7,367.0,6.682214429513115,1,0,0.2,10,2,2,0
Florian Wirtz,2020,Germany,MF,17,29,2224.0,6.89,5,6,4.0,114,18,9,0
Florian Wirtz,2021,Germany,MF,18,24,1851.0,7.36,7,10,5.4,136,10,13,0
Florian Wirtz,2022,Germany,FW,19,17,1090.0,7.21,1,6,0.8,80,10,1,0
Florian Wirtz,2023,Germany,MF,20,32,2372.0,7.63,11,11,8.9,224,18,9,0
Florin Andone,2017,Romania,FW,24,29,1636.0,6.55,7,3,11.4,11,7,3,0
Florin Andone,2018,Romania,FW,25,23,881.0,6.48,3,0,2.5,4,2,3,0
Florin Andone,2021,Romania,FW,28,5,176.0,6.636517409083498,0,0,0.2,2,1,0,0
Floyd Ayité,2018,Togo,FW,29,16,476.0,6.65,1,0,0.4,23,4,7,0
Flynn Downes,2022,England,MF,23,21,762.0,6.639999999999999,0,0,0.4,22,9,7,0
Folarin Balogun,2022,United States,FW,21,37,2999.0,6.93,21,2,26.6,55,5,3,0
Folarin Balogun,2023,United States,FW,22,29,1692.0,6.8,7,5,11.0,30,4,3,0
Formose Mendy,2023,Senegal,DF,22,18,1256.0,6.8500000000000005,0,0,0.3,61,19,20,0
Fouad Chafik,2017,Morocco,DF,30,23,1613.0,6.81,0,2,0.2,59,49,33,0
Fouad Chafik,2018,Morocco,DF,31,21,1847.0,6.78,0,2,0.3,75,31,25,0
Fouad Chafik,2019,Morocco,DF,32,20,1528.0,6.89,0,2,0.2,85,21,26,0
Fouad Chafik,2020,Morocco,DF,33,23,1622.0,6.539999999999999,1,0,0.2,65,24,21,0
Fousseni Diabaté,2017,Mali,MF,21,14,587.0,6.65,0,1,0.5,18,6,8,0
Fousseni Diabaté,2018,Mali,FW,22,1,54.0,6.637664151011675,0,0,0.0,0,0,0,0
Fousseni Diabaté,2019,Mali,FW,23,20,1190.0,6.45,1,3,0.6,27,10,8,0
Fran Beltrán,2018,Spain,MF,19,30,1517.0,6.629999999999999,1,0,1.2,67,17,19,0
Fran Beltrán,2019,Spain,MF,20,28,1830.0,6.55,1,0,1.5,67,19,14,0
Fran Beltrán,2020,Spain,MF,21,32,1399.0,6.700000000000001,3,0,1.2,55,22,16,0
Fran Beltrán,2021,Spain,MF,22,37,2597.0,6.87,1,0,0.4,131,41,32,0
Fran Beltrán,2022,Spain,MF,23,36,2855.0,6.77,0,2,0.9,138,22,53,0
Fran Beltrán,2023,Spain,MF,24,33,2428.0,6.74,0,0,0.7,134,32,18,0
Fran Delgado,2022,Spain,DF,21,1,12.0,6.637664151011675,0,0,0.0,0,0,0,0
Fran Gámez,2019,Spain,DF,28,23,1768.0,6.73,0,1,0.6,68,42,29,0
Fran Manzanara,2018,Spain,DF,21,4,157.0,6.629828336874023,0,0,0.6,3,5,1,0
Fran Mérida,2019,Spain,MF,29,23,1161.0,6.7,0,1,0.4,112,15,25,0
Fran Mérida,2021,Spain,MF,31,10,266.0,6.669358671142945,0,0,0.1,18,3,6,0
Fran Vieites,2023,Spain,GK,24,4,315.0,6.677352649779227,0,0,0.0,0,0,0,14
Francesco Acerbi,2017,Italy,DF,29,38,3420.0,7.07,0,0,1.0,141,32,88,0
Francesco Acerbi,2018,Italy,DF,30,37,3309.0,7.11,3,1,3.4,135,30,61,0
Francesco Acerbi,2019,Italy,DF,31,36,3162.0,7.25,2,2,2.4,150,29,42,0
Francesco Acerbi,2020,Italy,DF,32,32,2813.0,7.049999999999999,0,1,1.1,141,32,76,0
Francesco Acerbi,2021,Italy,DF,33,30,2536.0,7.03,4,0,2.4,119,12,34,0
Francesco Acerbi,2022,Italy,DF,34,31,2425.0,7.0,0,2,1.0,100,19,41,0
Francesco Acerbi,2023,Italy,DF,35,29,2388.0,7.160000000000001,3,1,1.6,87,13,32,0
Francesco Caputo,2018,Italy,FW,30,38,3420.0,6.940000000000001,16,3,17.6,51,9,2,0
Francesco Caputo,2019,Italy,FW,31,36,2931.0,7.209999999999999,21,7,13.9,48,4,1,0
Francesco Caputo,2020,Italy,FW,32,25,1697.0,7.03,11,5,9.9,29,0,1,0
Francesco Caputo,2021,Italy,FW,33,36,2790.0,6.89,11,3,10.3,32,2,2,0
Francesco Caputo,2022,Italy,FW,34,36,1401.0,6.69,6,4,9.4,32,3,3,0
Francesco Caputo,2023,Italy,FW,35,20,1268.0,6.730000000000001,3,0,3.4,18,0,1,0
Francesco Di Mariano,2021,Italy,FW,25,1,62.0,6.63654109362504,0,0,0.0,0,1,0,0
Francesco Di Tacchio,2021,Italy,MF,31,18,1255.0,6.639999999999999,0,0,0.4,56,7,22,0
Francesco Forte,2021,Italy,FW,28,12,422.0,6.6631177701438515,1,0,1.0,7,2,0,0
Francesco Gelli,2023,Italy,MF,26,27,1561.0,6.75,0,0,0.7,61,13,11,0
Francesco Migliore,2017,Italy,DF,29,6,329.0,6.648901311701744,0,0,0.0,8,5,3,0
Francesco Rossi,2022,Italy,GK,31,1,4.0,6.637664151011675,0,0,0.0,0,0,0,0
Francesco Vicari,2017,Italy,DF,22,34,2850.0,6.84,0,0,0.6,82,22,45,0
Francesco Vicari,2018,Italy,DF,23,28,2335.0,6.86,2,1,0.5,56,24,34,0
Francesco Vicari,2019,Italy,DF,24,34,2898.0,6.75,0,0,0.5,66,13,38,0
Francesco Zampano,2017,Italy,DF,23,6,412.0,6.684296076136199,0,1,0.1,15,7,6,0
Francesco Zampano,2018,Italy,DF,24,27,2102.0,6.47,0,1,0.8,59,25,13,0
Franci Bouebari,2022,France,DF,18,2,76.0,6.641589039744723,0,0,0.0,0,0,2,0
Francis Coquelin,2017,France,MF,26,16,413.0,6.742440419999808,1,0,0.4,39,18,23,0
Francis Coquelin,2018,France,MF,27,26,1761.0,6.98,0,1,0.4,106,31,49,0
Francis Coquelin,2019,France,MF,28,26,1905.0,6.77,0,0,0.4,85,21,38,0
Francis Coquelin,2020,France,MF,29,22,736.0,6.72,0,0,0.2,31,14,21,0
Francis Coquelin,2021,France,MF,30,20,830.0,6.88,2,1,0.3,56,17,19,0
Francis Coquelin,2022,France,MF,31,16,748.0,6.7299999999999995,1,0,1.0,29,13,9,0
Francis Coquelin,2023,France,MF,32,17,910.0,6.75,0,0,0.1,47,12,16,0
Francis Guerrero,2017,Spain,DF,21,14,993.0,6.75,1,0,0.3,23,19,21,0
Francis Guerrero,2018,Spain,DF,22,22,1778.0,6.75,0,1,0.4,44,28,21,0
Francis Uzoho,2017,Nigeria,GK,18,2,180.0,6.637664151011675,0,0,0.0,0,0,0,0
Francisco Molinero,2017,Spain,DF,32,10,579.0,6.688161938892363,0,0,0.1,26,10,14,0
Francisco Montero,2018,Spain,DF,19,9,404.0,6.6512079791905085,0,0,0.0,6,4,5,0
Francisco Portillo,2017,Spain,MF,27,33,2460.0,6.59,2,3,3.1,158,23,22,0
Francisco Portillo,2018,Spain,MF,28,32,1994.0,6.58,1,4,1.9,134,16,17,0
Francisco Portillo,2019,Spain,MF,29,16,376.0,6.67,0,2,0.2,25,6,2,0
Francisco Portillo,2020,Spain,MF,30,16,418.0,6.460000000000001,0,1,0.0,35,3,5,0
Francisco Portillo,2022,Spain,MF,32,27,722.0,6.660000000000001,2,1,0.7,74,6,7,0
Francisco Reis Ferreira,2020,Portugal,DF,23,3,181.0,6.642023650886876,0,0,0.0,4,1,0,0
Francisco Trincão,2020,Portugal,FW,20,28,706.0,6.66,3,2,2.6,28,2,1,0
Francisco Trincão,2021,Portugal,FW,21,28,1336.0,6.8,2,1,3.7,40,15,12,0
Franck Evina,2017,Cameroon,FW,17,2,110.0,6.636776833283093,0,0,0.1,2,2,0,0
Franck Honorat,2019,France,FW,22,12,849.0,6.742742818296444,0,3,0.1,28,11,5,0
Franck Honorat,2020,France,MF,23,36,2458.0,7.009999999999999,8,4,4.2,83,13,11,0
Franck Honorat,2021,France,FW,24,34,2899.0,7.22,11,4,4.3,84,38,15,0
Franck Honorat,2022,France,FW,25,33,2535.0,7.2,6,5,4.8,70,29,21,0
Franck Honorat,2023,France,DF,26,32,2345.0,7.239999999999999,3,9,1.6,93,13,9,0
Franck Kessié,2017,Ivory Coast,MF,20,37,3264.0,6.82,5,1,7.5,209,34,26,0
Franck Kessié,2018,Ivory Coast,MF,21,34,3018.0,6.96,7,2,7.5,191,27,27,0
Franck Kessié,2019,Ivory Coast,MF,22,35,2904.0,6.84,4,1,4.6,173,29,34,0
Franck Kessié,2020,Ivory Coast,MF,23,37,3226.0,7.18,13,4,14.0,171,30,46,0
Franck Kessié,2021,Ivory Coast,MF,24,31,2308.0,7.07,6,0,4.4,130,23,23,0
Franck Kessié,2022,Ivory Coast,MF,25,28,990.0,6.67,1,1,1.8,39,9,12,0
Franck Ribéry,2017,France,FW,34,20,1203.0,7.12,5,1,3.3,93,16,7,0
Franck Ribéry,2018,France,MF,35,25,1174.0,6.76,6,3,3.9,91,7,7,0
Franck Ribéry,2019,France,FW,36,21,1409.0,7.049999999999999,3,3,2.6,109,14,3,0
Franck Ribéry,2020,France,FW,37,29,2149.0,6.89,2,6,2.6,109,11,3,0
Franck Ribéry,2021,France,MF,38,23,1421.0,6.639999999999999,0,2,0.9,71,10,3,0
Franck Tabanou,2017,France,DF,28,15,1048.0,6.67,0,2,0.1,43,17,26,0
Franck Tabanou,2018,France,DF,29,2,180.0,6.652922841628208,0,0,0.0,5,3,6,0
Franco Carboni,2022,Italy,DF,19,3,66.0,6.639862335036252,0,0,0.1,2,1,1,0
Franco Cervi,2021,Argentina,MF,27,33,1801.0,6.849999999999999,4,3,3.1,61,41,21,0
Franco Cervi,2022,Argentina,MF,28,36,1894.0,6.82,0,4,2.3,69,46,36,0
Franco Cervi,2023,Argentina,MF,29,17,546.0,6.84,0,1,0.5,24,18,9,0
Franco Di Santo,2017,Argentina,FW,28,30,1654.0,6.71,3,1,3.8,31,13,2,0
Franco Di Santo,2018,Argentina,FW,29,10,208.5,6.6362337386767525,0,0,0.2,2,3,1,0
Franco Russo,2021,Argentina,DF,26,19,1464.0,6.59,1,0,0.2,41,10,27,0
Franco Russo,2022,Argentina,DF,27,3,145.0,6.643799066040071,0,0,0.0,1,1,3,0
Franco Vázquez,2017,Argentina,MF,28,30,1838.0,6.74,4,6,6.2,117,32,11,0
Franco Vázquez,2018,Argentina,MF,29,34,2280.0,6.76,3,4,4.1,171,37,23,0
Franco Vázquez,2019,Argentina,MF,30,31,1098.0,6.7,3,0,1.6,88,17,10,0
Franco Vázquez,2020,Argentina,FW,31,15,164.0,6.609999999999999,1,0,0.2,13,1,1,0
Franco Zuculini,2017,Argentina,MF,26,11,329.0,6.659027818941557,0,0,0.2,17,8,5,0
Frank Magri,2023,Cameroon,FW,23,29,1438.0,6.84,5,2,3.1,34,14,4,0
Frank Onyeka,2021,Nigeria,MF,23,20,1045.0,6.63,0,0,0.8,35,17,14,0
Frank Onyeka,2022,Nigeria,MF,24,21,848.0,6.599999999999999,0,2,1.0,28,14,10,0
Frank Onyeka,2023,Nigeria,MF,25,26,1161.0,6.79,1,2,2.2,33,24,23,0
Frank Ronstadt,2023,Germany,DF,26,4,76.0,6.640985392422887,0,0,0.1,2,0,1,0
Frank Tsadjout,2022,Italy,FW,23,20,1051.0,6.83,3,1,2.0,18,8,8,0
Franklin Wadja,2020,Cameroon,MF,25,4,33.0,6.639342924971453,0,0,0.0,0,2,2,0
Frans Krätzig,2023,Germany,DF,20,4,56.0,6.643111181461198,0,0,0.3,7,0,0,0
Fransérgio,2021,Brazil,MF,30,26,1258.0,6.4,0,1,1.3,46,10,23,0
François Bellugou,2017,France,MF,30,30,2177.0,6.56,0,0,0.1,84,33,28,0
François Kamano,2017,Guinea,FW,21,35,2014.0,6.84,8,4,8.2,52,24,15,0
François Kamano,2018,Guinea,FW,22,37,2561.0,6.890000000000001,10,1,9.8,75,18,17,0
François Kamano,2019,Guinea,DF,23,11,648.0,6.682354869339392,1,0,0.8,18,6,3,0
François Moubandje,2017,Switzerland,DF,27,21,1699.0,6.67,0,0,0.1,80,15,27,0
François Moubandje,2018,Switzerland,DF,28,22,1935.0,6.73,0,0,0.4,75,22,27,0
François Mughe,2023,Cameroon,MF,19,5,177.0,6.647838589000181,0,0,0.1,7,0,1,0
François-Joseph Sollacaro,2022,France,GK,28,6,540.0,6.6688479714718945,0,0,0.0,0,0,0,11
Fred,2018,Brazil,MF,25,17,1041.0,6.76,1,1,0.8,73,17,16,0
Fred,2019,Brazil,MF,26,29,2163.0,6.98,0,0,1.7,158,32,38,0
Fred,2020,Brazil,MF,27,30,2390.0,7.039999999999999,1,0,1.8,189,39,45,0
Fred,2021,Brazil,MF,28,28,2028.0,6.99,4,4,1.3,138,27,32,0
Fred,2022,Brazil,MF,29,35,1249.0,6.780000000000001,2,2,2.0,76,30,19,0
Fred Onyedinma,2023,England,DF,26,8,407.0,6.638347123778684,0,0,0.2,6,6,1,0
Freddie Woodman,2021,England,GK,24,4,360.0,6.663178185933673,0,0,0.0,0,0,0,9
Frederik Sørensen,2017,Denmark,DF,25,28,2001.0,6.9,2,1,2.7,74,45,37,0
Frederik Sørensen,2020,Denmark,DF,28,3,99.0,6.644764929517794,0,0,0.0,6,1,0,0
Fredrik André Bjørkan,2021,Norway,DF,22,9,353.0,6.6628797510227304,0,0,0.0,18,10,6,0
Frenkie de Jong,2019,Netherlands,MF,22,29,2115.0,6.98,2,2,1.3,146,19,21,0
Frenkie de Jong,2020,Netherlands,MF,23,37,3154.0,7.16,3,4,4.8,238,27,38,0
Frenkie de Jong,2021,Netherlands,MF,24,32,2476.0,7.080000000000001,3,3,4.8,206,19,20,0
Frenkie de Jong,2022,Netherlands,MF,25,33,2534.0,7.24,2,4,2.4,280,26,35,0
Frenkie de Jong,2023,Netherlands,MF,26,20,1634.0,7.450000000000001,2,0,0.7,168,26,14,0
Frédéric Sammaritano,2017,France,FW,31,26,1429.0,6.700000000000001,0,4,1.7,76,25,5,0
Frédéric Sammaritano,2018,France,FW,32,14,538.0,6.48,0,0,0.6,31,5,8,0
Frédéric Sammaritano,2019,France,MF,33,10,518.0,6.751047664778377,1,2,0.6,34,7,2,0
Frédéric Sammaritano,2020,France,FW,34,30,1130.0,6.6,0,2,1.3,54,10,9,0
